date,rank,symbol,ltp,pct_chg,volume,value_cr,scan_clause,name,pct_change,tag,source,fetched_at,close,close_x_volume
2026-07-07,19,OMAXE,89.9,13.08,25496915.0,229.22,,,,t0_5pct_liq1cr,,,,
2026-07-07,20,ABDL,702.7,7.26,3209094.0,225.5,,,,t0_5pct_liq1cr,,,,
2026-07-07,21,MOTISONS,15.0,5.86,148873074.0,223.31,,,,t0_5pct_liq1cr,,,,
2026-07-07,22,TEXRAIL,121.04,6.93,14848622.0,179.73,,,,t0_5pct_liq1cr,,,,
2026-07-07,23,ADVENTHTL,151.24,7.58,8993647.0,136.02,,,,t0_5pct_liq1cr,,,,
2026-07-07,24,SPECTRUM,2058.6,11.08,635447.0,130.81,,,,t0_5pct_liq1cr,,,,
2026-07-07,25,FERMENTA,395.05,15.17,3139046.0,124.01,,,,t0_5pct_liq1cr,,,,
2026-07-07,1,CUPID,,3.76,86186965.0,1905.679983115,t1_5pct_liq1cr,Cupid Limited,,t1_5pct_liq1cr,,,221.11,19056799831.15
2026-07-07,2,DIXON,,-0.47,792499.0,1049.4271758,t1_5pct_liq1cr,Dixon Technologies Ltd,,t1_5pct_liq1cr,,,13242.0,10494271758.0
2026-07-07,3,RAMCOSYS,,0.06,5842534.0,514.1722046699999,t1_5pct_liq1cr,Ramco Systems Limited,,t1_5pct_liq1cr,,,880.05,5141722046.7
2026-07-07,4,DIACABS,,2.82,19539629.0,439.543954355,t1_5pct_liq1cr,Diamond Power Infrastructure Ltd,,t1_5pct_liq1cr,,,224.95,4395439543.55
2026-07-07,5,AEGISLOG,,-1.81,3162195.0,437.55292215,t1_5pct_liq1cr,Aegis Logistics Ltd,,t1_5pct_liq1cr,,,1383.7,4375529221.5
2026-07-07,6,AEGISVOPAK,,5.13,11503811.0,338.580165352,t1_5pct_liq1cr,Aegis Vopak Terminals Ltd,,t1_5pct_liq1cr,,,294.32,3385801653.52
2026-07-07,7,RADICO,,-0.2,675691.0,276.93871326000004,t1_5pct_liq1cr,Radico Khaitan Limited,,t1_5pct_liq1cr,,,4098.6,2769387132.6000004
2026-07-07,8,LLOYDSENGG,,-5.3,23850046.0,204.132543714,t1_5pct_liq1cr,Lloyds Engineering Works Ltd,,t1_5pct_liq1cr,,,85.59,2041325437.14
2026-07-07,9,ZENTEC,,0.57,1051485.0,195.9337149,t1_5pct_liq1cr,Zen Technologies Limited,,t1_5pct_liq1cr,,,1863.4,1959337149.0
2026-07-07,10,SPARC,,1.77,6765565.0,180.19405821,t1_5pct_liq1cr,Sun Pharma Advanced Research Company Limited,,t1_5pct_liq1cr,,,266.34,1801940582.1
2026-07-07,11,JNKINDIA,,-4.46,2685591.0,131.177692395,t1_5pct_liq1cr,JNK India Ltd,,t1_5pct_liq1cr,,,488.45,1311776923.95
2026-07-07,12,MANAPPURAM,,-1.16,3512978.0,120.17897738000002,t1_5pct_liq1cr,Manappuram Finance Limited,,t1_5pct_liq1cr,,,342.1,1201789773.8000002
2026-07-07,13,WELCORP,,-0.17,753702.0,116.1454782,t1_5pct_liq1cr,Welspun Corp Limited,,t1_5pct_liq1cr,,,1541.0,1161454782.0
2026-07-07,14,TDPOWERSYS,,-4.56,994456.0,111.44868392,t1_5pct_liq1cr,Td Power Systems Limited,,t1_5pct_liq1cr,,,1120.7,1114486839.2
2026-07-07,15,MOTISONS,,-0.6,70106990.0,104.52952209,t1_5pct_liq1cr,Motisons Jewellers Ltd,,t1_5pct_liq1cr,,,14.91,1045295220.9
2026-07-07,16,DIGITIDE,,-10.0,6552116.0,71.0904586,t1_5pct_liq1cr,Digitide Solutions Ltd,,t1_5pct_liq1cr,,,108.5,710904586.0
2026-07-07,17,63MOONS,,1.71,918265.0,65.440155225,t1_5pct_liq1cr,63 Moons Technologies Ltd,,t1_5pct_liq1cr,,,712.65,654401552.25
2026-07-07,18,TARSONS,,1.11,2050875.0,60.787935,t1_5pct_liq1cr,Tarsons Products Ltd,,t1_5pct_liq1cr,,,296.4,607879350.0
2026-07-07,19,OMAXE,,-1.81,6800455.0,60.027616285,t1_5pct_liq1cr,Omaxe Limited,,t1_5pct_liq1cr,,,88.27,600276162.85
2026-07-07,20,TEXRAIL,,-1.88,4528063.0,53.779804251,t1_5pct_liq1cr,Texmaco Rail & Engineering Limited,,t1_5pct_liq1cr,,,118.77,537798042.51
2026-07-07,21,SWANCORP,,-1.0,1523049.0,50.298693225,t1_5pct_liq1cr,Swan Corp Ltd,,t1_5pct_liq1cr,,,330.25,502986932.25
2026-07-07,22,ABDL,,-2.38,562877.0,38.6133622,t1_5pct_liq1cr,Allied Blenders & Distillers Ltd,,t1_5pct_liq1cr,,,686.0,386133622.0
2026-07-07,23,RELTD,,3.32,2104795.0,38.534586860000005,t1_5pct_liq1cr,Ravindra Energy Ltd,,t1_5pct_liq1cr,,,183.08,385345868.6
2026-07-07,24,MUNJALAU,,-5.84,3622024.0,37.647317456,t1_5pct_liq1cr,Munjal Auto Industries Limited,,t1_5pct_liq1cr,,,103.94,376473174.56
2026-07-07,25,SPECTRUM,,-5.44,162806.0,31.69344402,t1_5pct_liq1cr,Spectrum Electrical Industries Ltd,,t1_5pct_liq1cr,,,1946.7,316934440.2
2026-07-08,1,ZSARACOM,12404.0,20.0,1.83,1477.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,2,SHAREINDIA,164.91,20.0,890.58,54004222.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,3,ITDC,702.8,19.99,958.36,13636321.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,4,DBSTOCKBRO,42.14,16.96,2.78,658685.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,5,IOLCP,165.04,14.25,679.58,41176929.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,6,NAUKRI,1159.45,13.1,1937.16,16707549.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,7,KOTIC,178.79,11.51,15.6,872520.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,8,PWL,148.78,10.13,843.61,56701910.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,9,SHIVAUM,440.9,9.99,5.47,124101.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,10,METROGLOBL,146.36,9.9,1.32,90434.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,11,SOMATEX,107.02,8.96,0.77,72083.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,12,RITES,235.43,8.92,2369.81,100658878.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,13,SWIGGY,266.27,7.21,877.03,32937738.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,14,WABAG,2203.2,7.2,396.58,1800005.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,15,DHANBANK,36.22,7.1,48.31,13336879.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,16,CYIENTDLM,536.8,6.93,127.16,2368760.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,17,ASHIMASYN,15.43,6.93,0.76,489542.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,18,PANSARI,355.05,6.43,7.04,198147.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,19,CEIGALL,379.05,5.78,33.97,896248.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,20,NATCOPHARM,984.15,5.6,230.59,2343053.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,21,TBZ,198.71,5.56,61.92,3116350.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,22,TAJGVK,361.95,5.43,35.11,969977.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,23,KAUSHALYA,1273.5,5.4,5.44,42700.0,t0_5pct_liq1cr,,,,,,,
2026-07-08,24,LATENTVIEW,301.05,5.3,191.53,6362179.0,t0_5pct_liq1cr,,,,,,,
