SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,3005.65,3005.7,2960,2977.15,2964.25,3001.9,1152335,3433386949,02-Aug-23,72369,02/08/23
TITAN,EQ,2937.95,2986.95,2883,2902.1,2906,2977.15,3319847,9682974440,03-Aug-23,244114,03/08/23
TITAN,EQ,2919.95,2935.8,2898,2904.4,2902.75,2902.1,709334,2066680614,04-Aug-23,83590,04/08/23
TITAN,EQ,2919.95,2919.95,2882.45,2904.6,2908,2904.4,580359,1681697434,07-Aug-23,64116,07/08/23
TITAN,EQ,2918,2932,2904.6,2921.25,2920.8,2904.6,474417,1386574975,08-Aug-23,55992,08/08/23
TITAN,EQ,2924,2962,2918.15,2955.9,2962,2921.25,600081,1762860590,09-Aug-23,46972,09/08/23
TITAN,EQ,2958,2995.5,2917,2988.55,2988,2955.9,970990,2873137609,10-Aug-23,60947,10/08/23
TITAN,EQ,2988.5,3067.45,2980,3017.25,3017.2,2988.55,1823274,5523563461,11-Aug-23,103627,11/08/23
TITAN,EQ,3020.35,3020.35,2988.35,3010.65,3010,3017.25,542561,1631291517,14-Aug-23,73800,14/08/23
TITAN,EQ,3005,3015.9,2978.05,3011.1,3011,3010.65,544441,1630365942,16-Aug-23,51197,16/08/23
TITAN,EQ,3018,3079.45,3012,3071.75,3071.5,3011.1,1699758,5197007142,17-Aug-23,141448,17/08/23
TITAN,EQ,3070.6,3079.5,3035,3050.45,3052,3071.75,860782,2628138143,18-Aug-23,60031,18/08/23
TITAN,EQ,3051,3082.5,3050,3078.3,3078,3050.45,706621,2166628269,21-Aug-23,59192,21/08/23
TITAN,EQ,3084.95,3091,3040.1,3075.6,3078.45,3078.3,714220,2190717583,22-Aug-23,58414,22/08/23
TITAN,EQ,3075.6,3085,3056.3,3070,3069,3075.6,602197,1851159530,23-Aug-23,62367,23/08/23
TITAN,EQ,3075.7,3099.9,3056.25,3061.2,3056.35,3070,618626,1904276855,24-Aug-23,55119,24/08/23
TITAN,EQ,3055,3074.75,3037.55,3067.2,3063,3061.2,648003,1980117039,25-Aug-23,50776,25/08/23
TITAN,EQ,3074,3079.95,3040.7,3048.55,3047.15,3067.2,471698,1440808435,28-Aug-23,45180,28/08/23
TITAN,EQ,3051.95,3090,3044,3079.4,3077.45,3048.55,482639,1479901631,29-Aug-23,52140,29/08/23
TITAN,EQ,3080,3111,3067,3082.2,3082.95,3079.4,582766,1803947335,30-Aug-23,55732,30/08/23
TITAN,EQ,3090.85,3118.95,3082.2,3104.45,3112,3082.2,1420498,4407556396,31-Aug-23,82971,31/08/23
TITAN,EQ,3111.95,3124.9,3100,3116.8,3116,3104.45,423739,1319544988,01-Sep-23,45670,01/09/23
TITAN,EQ,3116.95,3124.95,3086.3,3100.3,3107,3116.8,539813,1676427370,04-Sep-23,50966,04/09/23
TITAN,EQ,3120,3157.5,3115,3136.15,3126.25,3100.3,721199,2262239272,05-Sep-23,66124,05/09/23
TITAN,EQ,3136.15,3180.55,3120.85,3176.05,3170,3136.15,1163154,3674604428,06-Sep-23,71528,06/09/23
TITAN,EQ,3173,3182.95,3152,3172.8,3177,3176.05,805295,2550437262,07-Sep-23,51819,07/09/23
TITAN,EQ,3182,3205,3172.8,3199.1,3199,3172.8,700158,2234834986,08-Sep-23,40336,08/09/23
TITAN,EQ,3209.95,3221.55,3186.6,3213.3,3208,3199.1,544452,1747848372,11-Sep-23,48307,11/09/23
TITAN,EQ,3216.05,3221.15,3177.6,3185.8,3183,3213.3,591509,1888864791,12-Sep-23,58286,12/09/23
TITAN,EQ,3178.05,3270,3178.05,3263.2,3261,3185.8,1370306,4432375342,13-Sep-23,107088,13/09/23
TITAN,EQ,3277.55,3302.45,3240,3261.35,3258,3263.2,1264935,4130634062,14-Sep-23,89504,14/09/23
